economy,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2010-20S,YR2010-20W,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
KEN,,,,,,,,6.5510534431179,,,,,,,,,,,,9.61656793735115,,,,,,
KGZ,,,,,,,,,42.3309443457152,,,,,,,63.1679800057875,92.2728991448012,75.3117108382123,,,,,,98.535279162901,87.2657607785219,
KHM,,,,,,,,,,,10.5649804887017,,,,,,,1.56489171775466,,,,,,,,
KIR,,,,,,,,,,,,,,,,,,,,,,,,8.61859751115153,,
LAO,,,,,,,,,,33.9780230547325,,,,,,,,,,,,,40.658728904531,,,
LBN,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,,,,,,,,,,,,,,
LCN,,,,,,,,,,,,,,44.8124827443201,49.7592860998199,,,,,,,,,,,
LIC,,,,,,,,,,,,,,23.1005608914809,22.7642482582773,,,,,,,,,,,
LKA,,,,,,,,,9.0728376776135,,,7.58985732444941,,,,,12.9514420083978,,,,19.2343355176775,,,21.6862702182534,,
LMC,,,,,,,,,,,,,,60.6687546134388,23.3000154085282,,,,,,,,,,,
LSO,,,,,,,,,,,,,,,,,,,,,,26.6770415183829,,,,
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,,,,,,,,,,,123.939483918454,53.3124808769148,,,,,,,,,,,,,,
MAR,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,,,,,,,,,,,,,105.112685895483,,,,81.0328266088494,,,,,,658.184191847038,,,
MDG,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,,,,,,,52.1402643585931,,,,,114.329213356794,,,,,,,,,,,,,,
MEA,,,,,,,,,,,,,,38.3929750982854,33.5335464239362,,,,,,,,,,,
MEX,,,,,,,,,,,61.2269968330575,,67.8091218293015,,,,44.5204689238298,,36.2647879589791,,69.9850446688347,,59.9412795415754,,49.790767701818,
MHL,,8.3333332074957,,,,,,,,,,,,,,,,,,,,,,95.5260521299653,,
MLI,,,,,,,,,,,,11.1592336023,,,,,,,,,,,6.36916608774646,,,
MMR,,,,,,,,,,,,,,,,,,,,,,173.111400808432,,,,
MNE,,,,,,,,,,,,,,,,,,61.7780531629266,,,,,,,,
MNG,,,,,,,,,,43.6231206789475,,50.7760084643914,44.0612838987784,,,70.1439663162319,78.9947844350541,,43.8834721528276,,65.4347531026523,,55.0343209314169,,,
MOZ,,,,,,,,,,,65.0003293758058,,,,,,,,53.508300075566,,,,,,,
MRT,,,,,,,,,,,228.488803677037,,,,,,,,,,,,,,,
MUS,,,,,,,,,58.7891682220569,,,,,,,,108.105008588658,,,,,71.4152640408272,,,,
MWI,,,,,,,7.45181495021517,,,,,,3.8942597580445,,,,,1.75189905234637,,,4.84335939177412,,,6.18532033063689,,
MYS,,,,,,,,,,,11.4241908887608,,,,,,3.17051264080621,,19.7090360025594,,21.2632118491976,,,,,
NAM,,,,,,,,,,,,,,,,,,,,48.0132392879884,,,,,,
NER,,,,,,,,,,,,,,,,5.80474430828426,,,2.70724691562036,,,,48.8267704921267,,,
NGA,,,,,,,,,,,,,4.95717031491423,,,,4.64754212823702,,,11.1181936845114,,,4.10910299709874,,,
NIC,,,,,,,,22.7051233976931,,,,30.5741711201559,,,,,,,72.9187147419299,,,,,,,
NPL,,,,,,,,,,,,,4.47186708499659,,,,,,,,,,,,,
PAK,,,,,,,,,,16.1970007897187,,14.4262209429473,,,,,,8.07175524261787,,9.29926479912901,,,9.07406540125739,,,
PAN,,,,,,,,,,,12.4663115115755,30.4113713695415,32.1406732556467,,,38.3892014978888,33.9917368098466,25.747939826082,31.7083390638714,57.8898084447714,53.1060461975838,58.1648840129945,59.5188910097804,49.9311538045811,,
PER,,,,,,,,,,,22.1729765382945,20.9074029636863,22.696453377932,,,21.1308005657911,21.1997041419949,19.9096417801829,20.4273362453981,22.3957892724871,22.3926384273803,22.1430852256216,20.7900720025145,21.3233782249104,24.6525916497954,24.6341251309501
PHL,,,,,,,,,34.5491912819592,,,,,,,,,24.9079442955025,,11.1533672411463,,,25.8433047942989,,,
PLW,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,,,,,,,,,,,,21.7489587905873,,,,,,,,,,,,,,
POL,,,,,,,,78.9907518586551,99.9394398007369,147.524615006699,91.6645770120972,116.877339223014,76.6639229279794,,,107.903914138018,95.5003707282963,,,,,,,,,
