indicator,year,countrycode,period,welftype,spell,subgroup,value
WB.SP.meantotal,2008,ALB,2008-2012,CONS,1,National,10.03817
WB.SP.meantotal,2012,ALB,2008-2012,CONS,2,National,9.517231
WB.SP.meantotal,2014,ALB,2014-2017,CONS,1,National,10.14131
WB.SP.meantotal,2017,ALB,2014-2017,CONS,2,National,12.41122
WB.SP.meantotal,2013,ARE,2013-2018,INC,1,National,72.45095059
WB.SP.meantotal,2018,ARE,2013-2018,INC,2,National,78.77590282
WB.SP.meantotal,2006,ARG,2006-2011,INC,1,National,24.16692
WB.SP.meantotal,2011,ARG,2006-2011,INC,2,National,28.93932
WB.SP.meantotal,2007,ARG,2007-2012,INC,1,National,24.92478
WB.SP.meantotal,2012,ARG,2007-2012,INC,2,National,28.67458
WB.SP.meantotal,2009,ARG,2009-2014,INC,1,National,26.4003
WB.SP.meantotal,2014,ARG,2009-2014,INC,2,National,26.94794
WB.SP.meantotal,2011,ARG,2011-2016,INC,1,National,28.93932
WB.SP.meantotal,2016,ARG,2011-2016,INC,2,National,28.14445
WB.SP.meantotal,2012,ARG,2012-2017,INC,1,National,28.67458
WB.SP.meantotal,2017,ARG,2012-2017,INC,2,National,29.55788
WB.SP.meantotal,2013,ARG,2013-2018,INC,1,National,28.79079
WB.SP.meantotal,2018,ARG,2013-2018,INC,2,National,26.79622
WB.SP.meantotal,2014,ARG,2014-2019,INC,1,National,26.94794
WB.SP.meantotal,2019,ARG,2014-2019,INC,2,National,26.09595
WB.SP.meantotal,2016,ARG,2016-2020,INC,1,National,28.14445
WB.SP.meantotal,2020,ARG,2016-2020,INC,2,National,22.84261
WB.SP.meantotal,2016,ARG,2016-2021,INC,1,National,28.14445
WB.SP.meantotal,2021,ARG,2016-2021,INC,2,National,24.76842
WB.SP.meantotal,2006,ARM,2006-2011,CONS,1,National,6.890282
WB.SP.meantotal,2011,ARM,2006-2011,CONS,2,National,7.2667
WB.SP.meantotal,2008,ARM,2008-2013,CONS,1,National,7.844795
WB.SP.meantotal,2013,ARM,2008-2013,CONS,2,National,7.810947
WB.SP.meantotal,2009,ARM,2009-2014,CONS,1,National,6.972358
WB.SP.meantotal,2014,ARM,2009-2014,CONS,2,National,8.011235
WB.SP.meantotal,2010,ARM,2010-2015,CONS,1,National,7.118401
WB.SP.meantotal,2015,ARM,2010-2015,CONS,2,National,8.588196
WB.SP.meantotal,2011,ARM,2011-2016,CONS,1,National,7.2667
WB.SP.meantotal,2016,ARM,2011-2016,CONS,2,National,9.041172
WB.SP.meantotal,2012,ARM,2012-2017,CONS,1,National,7.527843
WB.SP.meantotal,2017,ARM,2012-2017,CONS,2,National,8.796436
WB.SP.meantotal,2013,ARM,2013-2018,CONS,1,National,7.810947
WB.SP.meantotal,2018,ARM,2013-2018,CONS,2,National,8.794252
WB.SP.meantotal,2014,AUS,2014-2018,INC,1,National,65.29173
WB.SP.meantotal,2018,AUS,2014-2018,INC,2,National,64.60964
WB.SP.meantotal,2007,AUT,2007-2012,INC,1,National,59.32459
WB.SP.meantotal,2012,AUT,2007-2012,INC,2,National,60.48942
WB.SP.meantotal,2009,AUT,2009-2014,INC,1,National,62.46102
WB.SP.meantotal,2014,AUT,2009-2014,INC,2,National,62.47972
WB.SP.meantotal,2010,AUT,2010-2015,INC,1,National,63.0925
WB.SP.meantotal,2015,AUT,2010-2015,INC,2,National,62.21617
WB.SP.meantotal,2012,AUT,2012-2017,INC,1,National,60.48942
WB.SP.meantotal,2017,AUT,2012-2017,INC,2,National,64.19478
WB.SP.meantotal,2013,AUT,2013-2018,INC,1,National,63.45801
WB.SP.meantotal,2018,AUT,2013-2018,INC,2,National,64.86216
WB.SP.meantotal,2014,AUT,2014-2019,INC,1,National,62.47972
WB.SP.meantotal,2019,AUT,2014-2019,INC,2,National,66.13853
WB.SP.meantotal,2015,AUT,2015-2020,INC,1,National,62.21617
WB.SP.meantotal,2020,AUT,2015-2020,INC,2,National,66.33535
WB.SP.meantotal,2007,BEL,2007-2012,INC,1,National,53.26525
WB.SP.meantotal,2012,BEL,2007-2012,INC,2,National,54.44734
WB.SP.meantotal,2009,BEL,2009-2014,INC,1,National,54.63488
WB.SP.meantotal,2014,BEL,2009-2014,INC,2,National,54.9022
WB.SP.meantotal,2010,BEL,2010-2015,INC,1,National,54.23158
WB.SP.meantotal,2015,BEL,2010-2015,INC,2,National,55.55151
WB.SP.meantotal,2012,BEL,2012-2017,INC,1,National,54.44734
WB.SP.meantotal,2017,BEL,2012-2017,INC,2,National,55.60604
WB.SP.meantotal,2013,BEL,2013-2018,INC,1,National,54.32536
WB.SP.meantotal,2018,BEL,2013-2018,INC,2,National,56.89873
WB.SP.meantotal,2014,BEL,2014-2019,INC,1,National,54.9022
WB.SP.meantotal,2019,BEL,2014-2019,INC,2,National,58.88637
WB.SP.meantotal,2015,BEL,2015-2020,INC,1,National,55.55151
WB.SP.meantotal,2020,BEL,2015-2020,INC,2,National,58.64927
WB.SP.meantotal,2011,BEN,2011-2015,CONS,1,National,2.995762
WB.SP.meantotal,2015,BEN,2011-2015,CONS,2,National,3.003847
WB.SP.meantotal,2009,BFA,2009-2014,CONS,1,National,2.837406
WB.SP.meantotal,2014,BFA,2009-2014,CONS,2,National,3.277993
WB.SP.meantotal,2005,BGD,2005-2010,CONS,1,National,3.814517
WB.SP.meantotal,2010,BGD,2005-2010,CONS,2,National,4.082853
WB.SP.meantotal,2010,BGD,2010-2016,CONS,1,National,4.082853
WB.SP.meantotal,2016,BGD,2010-2016,CONS,2,National,4.47471
WB.SP.meantotal,2007,BGR,2007-2011,INC,1,National,15.83585
WB.SP.meantotal,2011,BGR,2007-2011,INC,2,National,16.12283
WB.SP.meantotal,2007,BGR,2007-2012,INC,1,National,15.83585
WB.SP.meantotal,2012,BGR,2007-2012,INC,2,National,16.94943
WB.SP.meantotal,2009,BGR,2009-2014,INC,1,National,18.17086
WB.SP.meantotal,2014,BGR,2009-2014,INC,2,National,20.17313
WB.SP.meantotal,2015,BGR,2015-2018,INC,1,National,19.25379
WB.SP.meantotal,2018,BGR,2015-2018,INC,2,National,26.54958
WB.SP.meantotal,2015,BGR,2015-2019,INC,1,National,19.25379
WB.SP.meantotal,2019,BGR,2015-2019,INC,2,National,27.42767
WB.SP.meantotal,2015,BGR,2015-2020,INC,1,National,19.25379
WB.SP.meantotal,2020,BGR,2015-2020,INC,2,National,30.87965
WB.SP.meantotal,2006,BLR,2006-2011,CONS,1,National,10.4393
WB.SP.meantotal,2011,BLR,2006-2011,CONS,2,National,14.55051
WB.SP.meantotal,2009,BLR,2009-2014,CONS,1,National,12.5905
WB.SP.meantotal,2014,BLR,2009-2014,CONS,2,National,18.91825
WB.SP.meantotal,2011,BLR,2011-2016,CONS,1,National,14.55051
WB.SP.meantotal,2016,BLR,2011-2016,CONS,2,National,16.28043
WB.SP.meantotal,2012,BLR,2012-2017,CONS,1,National,16.29465
WB.SP.meantotal,2017,BLR,2012-2017,CONS,2,National,16.71898
WB.SP.meantotal,2013,BLR,2013-2018,CONS,1,National,18.16565
WB.SP.meantotal,2018,BLR,2013-2018,CONS,2,National,18.15194
WB.SP.meantotal,2014,BLR,2014-2019,CONS,1,National,18.91825
WB.SP.meantotal,2019,BLR,2014-2019,CONS,2,National,19.13246
WB.SP.meantotal,2015,BLR,2015-2020,CONS,1,National,16.9464
WB.SP.meantotal,2020,BLR,2015-2020,CONS,2,National,19.26503
WB.SP.meantotal,2006,BOL,2006-2011,INC,1,National,14.93818
WB.SP.meantotal,2011,BOL,2006-2011,INC,2,National,18.12236
WB.SP.meantotal,2007,BOL,2007-2012,INC,1,National,14.88119
WB.SP.meantotal,2012,BOL,2007-2012,INC,2,National,18.54862
WB.SP.meantotal,2009,BOL,2009-2014,INC,1,National,16.49624
WB.SP.meantotal,2014,BOL,2009-2014,INC,2,National,20.56035
WB.SP.meantotal,2011,BOL,2011-2016,INC,1,National,18.12236
WB.SP.meantotal,2016,BOL,2011-2016,INC,2,National,18.88466
WB.SP.meantotal,2012,BOL,2012-2017,INC,1,National,18.54862
WB.SP.meantotal,2017,BOL,2012-2017,INC,2,National,19.08078
WB.SP.meantotal,2013,BOL,2013-2018,INC,1,National,20.44764
WB.SP.meantotal,2018,BOL,2013-2018,INC,2,National,18.74698
WB.SP.meantotal,2014,BOL,2014-2019,INC,1,National,20.56035
WB.SP.meantotal,2019,BOL,2014-2019,INC,2,National,19.60767
WB.SP.meantotal,2015,BOL,2015-2020,INC,1,National,19.82076
WB.SP.meantotal,2020,BOL,2015-2020,INC,2,National,19.59431
WB.SP.meantotal,2016,BOL,2016-2021,INC,1,National,18.88466
WB.SP.meantotal,2021,BOL,2016-2021,INC,2,National,19.54969
WB.SP.meantotal,2006,BRA,2006-2011,INC,1,National,15.19755
WB.SP.meantotal,2011,BRA,2006-2011,INC,2,National,18.37197
WB.SP.meantotal,2012,BRA,2012-2015,INC,1,National,19.70703
WB.SP.meantotal,2015,BRA,2012-2015,INC,2,National,20.34713
WB.SP.meantotal,2013,BRA,2013-2018,INC,1,National,20.54421
WB.SP.meantotal,2018,BRA,2013-2018,INC,2,National,21.02363
WB.SP.meantotal,2014,BRA,2014-2019,INC,1,National,20.97478
WB.SP.meantotal,2019,BRA,2014-2019,INC,2,National,21.11513
WB.SP.meantotal,2016,BRA,2016-2021,INC,1,National,20.34637
WB.SP.meantotal,2021,BRA,2016-2021,INC,2,National,19.17797
WB.SP.meantotal,2007,BTN,2007-2012,CONS,1,National,7.240448
WB.SP.meantotal,2012,BTN,2007-2012,CONS,2,National,9.905167
WB.SP.meantotal,2012,BTN,2012-2017,CONS,1,National,9.905167
WB.SP.meantotal,2017,BTN,2012-2017,CONS,2,National,10.76267
WB.SP.meantotal,2002,BWA,2002-2009,CONS,1,National,9.558292
WB.SP.meantotal,2009,BWA,2002-2009,CONS,2,National,11.00973
WB.SP.meantotal,2009,BWA,2009-2015,CONS,1,National,11.00973
WB.SP.meantotal,2015,BWA,2009-2015,CONS,2,National,8.821087
WB.SP.meantotal,2010,CAN,2010-2013,INC,1,National,60.81035
WB.SP.meantotal,2013,CAN,2010-2013,INC,2,National,62.97015
WB.SP.meantotal,2012,CAN,2012-2017,INC,1,National,61.78147
WB.SP.meantotal,2017,CAN,2012-2017,INC,2,National,65.49503
WB.SP.meantotal,2013,CAN,2013-2018,INC,1,National,62.97015
WB.SP.meantotal,2018,CAN,2013-2018,INC,2,National,65.73783
WB.SP.meantotal,2014,CAN,2014-2019,INC,1,National,63.24268
WB.SP.meantotal,2019,CAN,2014-2019,INC,2,National,65.73275
WB.SP.meantotal,2007,CHE,2007-2012,INC,1,National,73.55959
WB.SP.meantotal,2012,CHE,2007-2012,INC,2,National,77.08637
WB.SP.meantotal,2008,CHE,2008-2013,INC,1,National,74.10761
WB.SP.meantotal,2013,CHE,2008-2013,INC,2,National,76.65099
WB.SP.meantotal,2009,CHE,2009-2014,INC,1,National,73.85172
WB.SP.meantotal,2014,CHE,2009-2014,INC,2,National,77.5953
WB.SP.meantotal,2010,CHE,2010-2015,INC,1,National,74.08755
WB.SP.meantotal,2015,CHE,2010-2015,INC,2,National,77.25291
WB.SP.meantotal,2012,CHE,2012-2017,INC,1,National,77.08637
WB.SP.meantotal,2017,CHE,2012-2017,INC,2,National,78.38721
WB.SP.meantotal,2013,CHE,2013-2018,INC,1,National,76.65099
WB.SP.meantotal,2018,CHE,2013-2018,INC,2,National,76.9733
WB.SP.meantotal,2006,CHL,2006-2011,INC,1,National,15.43232
WB.SP.meantotal,2011,CHL,2006-2011,INC,2,National,17.84431
WB.SP.meantotal,2009,CHL,2009-2013,INC,1,National,16.55155
WB.SP.meantotal,2013,CHL,2009-2013,INC,2,National,21.51965
WB.SP.meantotal,2009,CHL,2009-2015,INC,1,National,16.55155
WB.SP.meantotal,2015,CHL,2009-2015,INC,2,National,22.52504
WB.SP.meantotal,2013,CHL,2013-2017,INC,1,National,21.51965
WB.SP.meantotal,2017,CHL,2013-2017,INC,2,National,25.01472
WB.SP.meantotal,2015,CHL,2015-2020,INC,1,National,22.52504
WB.SP.meantotal,2020,CHL,2015-2020,INC,2,National,25.48751
WB.SP.meantotal,2013,CHN,2013-2015,CONS,1,National,9.704089155
WB.SP.meantotal,2015,CHN,2013-2015,CONS,2,National,11.19093206
WB.SP.meantotal,2013,CHN,2013-2016,CONS,1,National,9.704089155
WB.SP.meantotal,2016,CHN,2013-2016,CONS,2,National,11.92844546
WB.SP.meantotal,2014,CHN,2014-2019,CONS,1,National,10.45436024
WB.SP.meantotal,2019,CHN,2014-2019,CONS,2,National,14.17443324
WB.SP.meantotal,2015,CHN,2015-2020,CONS,1,National,11.19093206
WB.SP.meantotal,2020,CHN,2015-2020,CONS,2,National,13.62209667
WB.SP.meantotal,2008,CIV,2008-2015,CONS,1,National,3.991902
WB.SP.meantotal,2015,CIV,2008-2015,CONS,2,National,3.929645
WB.SP.meantotal,2007,CMR,2007-2014,CONS,1,National,4.419707
WB.SP.meantotal,2014,CMR,2007-2014,CONS,2,National,5.752898
WB.SP.meantotal,2004,COD,2004-2012,CONS,1,National,1.001092
WB.SP.meantotal,2012,COD,2004-2012,CONS,2,National,2.024651
WB.SP.meantotal,2005,COG,2005-2011,CONS,1,National,3.389932
WB.SP.meantotal,2011,COG,2005-2011,CONS,2,National,4.591497
WB.SP.meantotal,2008,COL,2008-2011,INC,1,National,12.6354
WB.SP.meantotal,2011,COL,2008-2011,INC,2,National,14.28252
WB.SP.meantotal,2008,COL,2008-2012,INC,1,National,12.6354
WB.SP.meantotal,2012,COL,2008-2012,INC,2,National,14.48207
WB.SP.meantotal,2009,COL,2009-2014,INC,1,National,12.74409
WB.SP.meantotal,2014,COL,2009-2014,INC,2,National,15.92209
WB.SP.meantotal,2010,COL,2010-2015,INC,1,National,13.76508
WB.SP.meantotal,2015,COL,2010-2015,INC,2,National,15.59002
WB.SP.meantotal,2011,COL,2011-2016,INC,1,National,14.28252
WB.SP.meantotal,2016,COL,2011-2016,INC,2,National,15.36195
WB.SP.meantotal,2012,COL,2012-2017,INC,1,National,14.48207
WB.SP.meantotal,2017,COL,2012-2017,INC,2,National,15.24694
WB.SP.meantotal,2013,COL,2013-2018,INC,1,National,15.20605
WB.SP.meantotal,2018,COL,2013-2018,INC,2,National,15.50564
WB.SP.meantotal,2014,COL,2014-2019,INC,1,National,15.92209
WB.SP.meantotal,2019,COL,2014-2019,INC,2,National,15.54243
WB.SP.meantotal,2015,COL,2015-2020,INC,1,National,15.59002
WB.SP.meantotal,2020,COL,2015-2020,INC,2,National,13.62663
WB.SP.meantotal,2016,COL,2016-2021,INC,1,National,15.36195
WB.SP.meantotal,2021,COL,2016-2021,INC,2,National,14.16004
WB.SP.meantotal,2004,CRI,2004-2009,INC,1,National,17.12842
WB.SP.meantotal,2009,CRI,2004-2009,INC,2,National,22.71151
WB.SP.meantotal,2010,CRI,2010-2013,INC,1,National,23.18134
WB.SP.meantotal,2013,CRI,2010-2013,INC,2,National,25.4574
WB.SP.meantotal,2010,CRI,2010-2014,INC,1,National,23.18134
WB.SP.meantotal,2014,CRI,2010-2014,INC,2,National,24.87672
WB.SP.meantotal,2010,CRI,2010-2015,INC,1,National,23.18134
WB.SP.meantotal,2015,CRI,2010-2015,INC,2,National,24.89318
WB.SP.meantotal,2011,CRI,2011-2016,INC,1,National,23.9121
WB.SP.meantotal,2016,CRI,2011-2016,INC,2,National,25.84521
WB.SP.meantotal,2012,CRI,2012-2017,INC,1,National,24.69894
WB.SP.meantotal,2017,CRI,2012-2017,INC,2,National,26.25692
WB.SP.meantotal,2013,CRI,2013-2018,INC,1,National,25.4574
WB.SP.meantotal,2018,CRI,2013-2018,INC,2,National,25.64462
WB.SP.meantotal,2014,CRI,2014-2019,INC,1,National,24.87672
WB.SP.meantotal,2019,CRI,2014-2019,INC,2,National,25.53089
WB.SP.meantotal,2015,CRI,2015-2020,INC,1,National,24.89318
WB.SP.meantotal,2020,CRI,2015-2020,INC,2,National,22.14729
WB.SP.meantotal,2016,CRI,2016-2021,INC,1,National,25.84521
WB.SP.meantotal,2021,CRI,2016-2021,INC,2,National,25.18381
WB.SP.meantotal,2017,CRI,2017-2022,INC,1,National,26.25692
WB.SP.meantotal,2022,CRI,2017-2022,INC,2,National,24.464
WB.SP.meantotal,2007,CYP,2007-2012,INC,1,National,52.78881
WB.SP.meantotal,2012,CYP,2007-2012,INC,2,National,49.47162
WB.SP.meantotal,2009,CYP,2009-2014,INC,1,National,51.81122
WB.SP.meantotal,2014,CYP,2009-2014,INC,2,National,44.25257
WB.SP.meantotal,2010,CYP,2010-2015,INC,1,National,52.62469
WB.SP.meantotal,2015,CYP,2010-2015,INC,2,National,45.0893
WB.SP.meantotal,2012,CYP,2012-2017,INC,1,National,49.47162
WB.SP.meantotal,2017,CYP,2012-2017,INC,2,National,47.56427
WB.SP.meantotal,2013,CYP,2013-2018,INC,1,National,47.48169
WB.SP.meantotal,2018,CYP,2013-2018,INC,2,National,51.21249
WB.SP.meantotal,2014,CYP,2014-2019,INC,1,National,44.25257
WB.SP.meantotal,2019,CYP,2014-2019,INC,2,National,51.57456
WB.SP.meantotal,2015,CYP,2015-2020,INC,1,National,45.0893
WB.SP.meantotal,2020,CYP,2015-2020,INC,2,National,52.92832
WB.SP.meantotal,2006,CZE,2006-2011,INC,1,National,29.11702
WB.SP.meantotal,2011,CZE,2006-2011,INC,2,National,31.7711
WB.SP.meantotal,2007,CZE,2007-2012,INC,1,National,30.65649
WB.SP.meantotal,2012,CZE,2007-2012,INC,2,National,31.22937
WB.SP.meantotal,2009,CZE,2009-2014,INC,1,National,31.85704
WB.SP.meantotal,2014,CZE,2009-2014,INC,2,National,32.15539
WB.SP.meantotal,2010,CZE,2010-2015,INC,1,National,31.80739
WB.SP.meantotal,2015,CZE,2010-2015,INC,2,National,33.49411
WB.SP.meantotal,2012,CZE,2012-2017,INC,1,National,31.22937
WB.SP.meantotal,2017,CZE,2012-2017,INC,2,National,35.89126
WB.SP.meantotal,2013,CZE,2013-2018,INC,1,National,31.44383
WB.SP.meantotal,2018,CZE,2013-2018,INC,2,National,37.61802
WB.SP.meantotal,2014,CZE,2014-2019,INC,1,National,32.15539
WB.SP.meantotal,2019,CZE,2014-2019,INC,2,National,39.35807
WB.SP.meantotal,2015,CZE,2015-2020,INC,1,National,33.49411
WB.SP.meantotal,2020,CZE,2015-2020,INC,2,National,40.01901
WB.SP.meantotal,2006,DEU,2006-2011,INC,1,National,57.20012
WB.SP.meantotal,2011,DEU,2006-2011,INC,2,National,58.46883
WB.SP.meantotal,2007,DEU,2007-2011,INC,1,National,57.98944
WB.SP.meantotal,2011,DEU,2007-2011,INC,2,National,58.46883
WB.SP.meantotal,2010,DEU,2010-2015,INC,1,National,58.09774
WB.SP.meantotal,2015,DEU,2010-2015,INC,2,National,60.74443
WB.SP.meantotal,2011,DEU,2011-2016,INC,1,National,58.46883
WB.SP.meantotal,2016,DEU,2011-2016,INC,2,National,62.03455
WB.SP.meantotal,2013,DEU,2013-2018,INC,1,National,59.01468
WB.SP.meantotal,2018,DEU,2013-2018,INC,2,National,64.82816
WB.SP.meantotal,2014,DEU,2014-2019,INC,1,National,58.67547
WB.SP.meantotal,2019,DEU,2014-2019,INC,2,National,65.8802
WB.SP.meantotal,2007,DNK,2007-2012,INC,1,National,55.1466
WB.SP.meantotal,2012,DNK,2007-2012,INC,2,National,56.79327
WB.SP.meantotal,2009,DNK,2009-2014,INC,1,National,54.68935
WB.SP.meantotal,2014,DNK,2009-2014,INC,2,National,58.77331
WB.SP.meantotal,2010,DNK,2010-2015,INC,1,National,57.98133
WB.SP.meantotal,2015,DNK,2010-2015,INC,2,National,59.31196
WB.SP.meantotal,2012,DNK,2012-2017,INC,1,National,56.79327
WB.SP.meantotal,2017,DNK,2012-2017,INC,2,National,61.7223
WB.SP.meantotal,2013,DNK,2013-2018,INC,1,National,58.22148
WB.SP.meantotal,2018,DNK,2013-2018,INC,2,National,62.26543
WB.SP.meantotal,2014,DNK,2014-2019,INC,1,National,58.77331
WB.SP.meantotal,2019,DNK,2014-2019,INC,2,National,62.47586
WB.SP.meantotal,2015,DNK,2015-2020,INC,1,National,59.31196
WB.SP.meantotal,2020,DNK,2015-2020,INC,2,National,64.19338
WB.SP.meantotal,2006,DOM,2006-2011,INC,1,National,12.99895
WB.SP.meantotal,2011,DOM,2006-2011,INC,2,National,12.69167
WB.SP.meantotal,2007,DOM,2007-2012,INC,1,National,11.89717
WB.SP.meantotal,2012,DOM,2007-2012,INC,2,National,12.13489
WB.SP.meantotal,2009,DOM,2009-2013,INC,1,National,12.40651
WB.SP.meantotal,2013,DOM,2009-2013,INC,2,National,12.81844
WB.SP.meantotal,2010,DOM,2010-2015,INC,1,National,12.23048
WB.SP.meantotal,2015,DOM,2010-2015,INC,2,National,14.58921
WB.SP.meantotal,2011,DOM,2011-2016,INC,1,National,12.69167
WB.SP.meantotal,2016,DOM,2011-2016,INC,2,National,15.62921
WB.SP.meantotal,2017,DOM,2017-2021,INC,1,National,14.7882
WB.SP.meantotal,2021,DOM,2017-2021,INC,2,National,14.04361
WB.SP.meantotal,2007,ECU,2007-2011,INC,1,National,13.1783
WB.SP.meantotal,2011,ECU,2007-2011,INC,2,National,13.8755
WB.SP.meantotal,2007,ECU,2007-2012,INC,1,National,13.1783
WB.SP.meantotal,2012,ECU,2007-2012,INC,2,National,14.78335
WB.SP.meantotal,2009,ECU,2009-2014,INC,1,National,12.13697
WB.SP.meantotal,2014,ECU,2009-2014,INC,2,National,15.47102
WB.SP.meantotal,2010,ECU,2010-2015,INC,1,National,13.43292
WB.SP.meantotal,2015,ECU,2010-2015,INC,2,National,15.58012
WB.SP.meantotal,2011,ECU,2011-2016,INC,1,National,13.8755
WB.SP.meantotal,2016,ECU,2011-2016,INC,2,National,15.25878
WB.SP.meantotal,2012,ECU,2012-2017,INC,1,National,14.78335
WB.SP.meantotal,2017,ECU,2012-2017,INC,2,National,15.69472
WB.SP.meantotal,2013,ECU,2013-2018,INC,1,National,15.29881
WB.SP.meantotal,2018,ECU,2013-2018,INC,2,National,15.65838
WB.SP.meantotal,2014,ECU,2014-2019,INC,1,National,15.47102
WB.SP.meantotal,2019,ECU,2014-2019,INC,2,National,15.38021
WB.SP.meantotal,2015,ECU,2015-2020,INC,1,National,15.58012
WB.SP.meantotal,2020,ECU,2015-2020,INC,2,National,13.67704
WB.SP.meantotal,2016,ECU,2016-2021,INC,1,National,15.25878
WB.SP.meantotal,2021,ECU,2016-2021,INC,2,National,14.68322
WB.SP.meantotal,2017,ECU,2017-2022,INC,1,National,15.69472
WB.SP.meantotal,2022,ECU,2017-2022,INC,2,National,15.20288
WB.SP.meantotal,2010,EGY,2010-2012,CONS,1,National,6.546504
WB.SP.meantotal,2012,EGY,2010-2012,CONS,2,National,6.689095
WB.SP.meantotal,2012,EGY,2012-2015,CONS,1,National,6.689095
WB.SP.meantotal,2015,EGY,2012-2015,CONS,2,National,7.24888
WB.SP.meantotal,2012,EGY,2012-2017,CONS,1,National,6.689095
WB.SP.meantotal,2017,EGY,2012-2017,CONS,2,National,6.300635
WB.SP.meantotal,2015,EGY,2015-2019,CONS,1,National,7.24888
WB.SP.meantotal,2019,EGY,2015-2019,CONS,2,National,6.758396
WB.SP.meantotal,2007,ESP,2007-2012,INC,1,National,47.91964
WB.SP.meantotal,2012,ESP,2007-2012,INC,2,National,42.08223
WB.SP.meantotal,2008,ESP,2008-2014,INC,1,National,48.53213
WB.SP.meantotal,2014,ESP,2008-2014,INC,2,National,41.11743
WB.SP.meantotal,2010,ESP,2010-2015,INC,1,National,45.86763
WB.SP.meantotal,2015,ESP,2010-2015,INC,2,National,42.46806
WB.SP.meantotal,2012,ESP,2012-2017,INC,1,National,42.08223
WB.SP.meantotal,2017,ESP,2012-2017,INC,2,National,44.48193
WB.SP.meantotal,2013,ESP,2013-2018,INC,1,National,40.9432
WB.SP.meantotal,2018,ESP,2013-2018,INC,2,National,44.77726
WB.SP.meantotal,2014,ESP,2014-2019,INC,1,National,41.11743
WB.SP.meantotal,2019,ESP,2014-2019,INC,2,National,46.79644
WB.SP.meantotal,2015,ESP,2015-2020,INC,1,National,42.46806
WB.SP.meantotal,2020,ESP,2015-2020,INC,2,National,46.86215
WB.SP.meantotal,2005,EST,2005-2010,INC,1,National,19.70769
WB.SP.meantotal,2010,EST,2005-2010,INC,2,National,23.64839
WB.SP.meantotal,2007,EST,2007-2012,INC,1,National,25.85732
WB.SP.meantotal,2012,EST,2007-2012,INC,2,National,25.89359
WB.SP.meantotal,2009,EST,2009-2014,INC,1,National,25.15733
WB.SP.meantotal,2014,EST,2009-2014,INC,2,National,30.4468
WB.SP.meantotal,2010,EST,2010-2015,INC,1,National,23.64839
WB.SP.meantotal,2015,EST,2010-2015,INC,2,National,32.59125
WB.SP.meantotal,2012,EST,2012-2017,INC,1,National,25.89359
WB.SP.meantotal,2017,EST,2012-2017,INC,2,National,36.65341
WB.SP.meantotal,2013,EST,2013-2018,INC,1,National,28.18522
WB.SP.meantotal,2018,EST,2013-2018,INC,2,National,38.81177
WB.SP.meantotal,2014,EST,2014-2019,INC,1,National,30.4468
WB.SP.meantotal,2019,EST,2014-2019,INC,2,National,40.9361
WB.SP.meantotal,2015,EST,2015-2020,INC,1,National,32.59125
WB.SP.meantotal,2020,EST,2015-2020,INC,2,National,42.71413
WB.SP.meantotal,2004,ETH,2004-2010,CONS,1,National,3.122983
WB.SP.meantotal,2010,ETH,2004-2010,CONS,2,National,3.383456
WB.SP.meantotal,2010,ETH,2010-2015,CONS,1,National,3.383456
WB.SP.meantotal,2015,ETH,2010-2015,CONS,2,National,3.738986
WB.SP.meantotal,2007,FIN,2007-2012,INC,1,National,52.25604
WB.SP.meantotal,2012,FIN,2007-2012,INC,2,National,55.13374
WB.SP.meantotal,2009,FIN,2009-2014,INC,1,National,53.88181
WB.SP.meantotal,2014,FIN,2009-2014,INC,2,National,54.6461
WB.SP.meantotal,2010,FIN,2010-2015,INC,1,National,54.68193
WB.SP.meantotal,2015,FIN,2010-2015,INC,2,National,55.14738
WB.SP.meantotal,2012,FIN,2012-2017,INC,1,National,55.13374
WB.SP.meantotal,2017,FIN,2012-2017,INC,2,National,56.93517
WB.SP.meantotal,2013,FIN,2013-2018,INC,1,National,54.92944
WB.SP.meantotal,2018,FIN,2013-2018,INC,2,National,57.82248
WB.SP.meantotal,2014,FIN,2014-2019,INC,1,National,54.6461
WB.SP.meantotal,2019,FIN,2014-2019,INC,2,National,58.84131
WB.SP.meantotal,2015,FIN,2015-2020,INC,1,National,55.14738
WB.SP.meantotal,2020,FIN,2015-2020,INC,2,National,58.81774
WB.SP.meantotal,2008,FJI,2008-2013,CONS,1,National,10.98436
WB.SP.meantotal,2013,FJI,2008-2013,CONS,2,National,10.72252
WB.SP.meantotal,2007,FRA,2007-2012,INC,1,National,56.77346
WB.SP.meantotal,2012,FRA,2007-2012,INC,2,National,57.83254
WB.SP.meantotal,2009,FRA,2009-2014,INC,1,National,57.7691
WB.SP.meantotal,2014,FRA,2009-2014,INC,2,National,57.90892
WB.SP.meantotal,2010,FRA,2010-2015,INC,1,National,58.06067
WB.SP.meantotal,2015,FRA,2010-2015,INC,2,National,58.67175
WB.SP.meantotal,2012,FRA,2012-2017,INC,1,National,57.83254
WB.SP.meantotal,2017,FRA,2012-2017,INC,2,National,58.38145
WB.SP.meantotal,2013,FRA,2013-2018,INC,1,National,57.30463
WB.SP.meantotal,2018,FRA,2013-2018,INC,2,National,59.54445
WB.SP.meantotal,2015,FRA,2015-2020,INC,1,National,58.67175
WB.SP.meantotal,2020,FRA,2015-2020,INC,2,National,57.17131
